Scrape Index,Post ID,PostD ate,Date Scraped,Message,Link
1,4318,2025-04-14T02:48:47+00:00,2025-04-15T02:43:10.403607,"💢 آموزش پيشگيري از سرقت توسط اداره نظارت بر اماکن عمومی با حضور اعضاي اتحاديه طلافروشان زرند کرمان 

🔻 در این راستا رعايت ضوابط و مقررات اماکن عمومي و انتظامي از جمله  فعال بودن دوربين هاي مداربسته با دریافت گواهی تاییدیه از سپتام و اتصال به سامانه ۱۱۰، رعايت و دقت بيشتر موارد امنيتي و حفاظتي، کنترل درب ورودي با حفاظ مناسب و استاندارد، هوشياري نسبت به مشتري نماها، رعايت اصول لازم در پرداخت و دريافت وجه و موارد ديگر مورد تاکید قرارگرفت.

🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4318
2,4319,2025-04-14T02:54:38+00:00,2025-04-15T02:43:10.403807,"✅نظارت بر میوه فروشی های سطح شهر قم توسط پلیس نظارت بر اماکن عمومی

🔻در اجرای طرح نظارت و بازدید از میوه فروشی های سطح شهر قم برابر شاخص های زیر:
 بررسی مجوزهای فعالیت ، عدم بکارگیری مشمولین غایب و همچنین اتباع خارجه مورد بازدید و سرکشی قرار گرفت. در این راستا از ۲۳ واحد صنفی بازدید و برای ۴ واحد بعلت نداشتن مجوز فعالیت و بکارگیری مشمول غایب اخطار مربوطه صادر و دیگر متصدیان واحدها در خصوص رعایت کلیه ضوابط اماکن ، رعایت ساعت کاری ، عدم بکارگیری اتباع خادجه و مشمولین غایب  موردتوجیه و ارشاد انتظامی واقع  شدند.


🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4319
3,4320,2025-04-14T03:03:42+00:00,2025-04-15T02:43:10.403968,"🚨شناسایی و پلمب مرکز تتو غیر مجاز در یک آرایشگاه مردانه در همدان

🔷  در راستای پایش صورت گرفته در بستر فضای مجازی توسط کارشناسان اداره نظارت بر اماکن عمومی همدان  مشخص گردید شخصی با نام کاربری معلوم با ایجاد صفحه اینستاگرامی اقدام به انتشار پست و نمایش استوری با مضمون تصاویر هنجارشکن و مغایر با شئونات و عرف جامعه به‌دنبال  جذب دنبال کننده در فضای مجازی با انتشار محتوا می باشد.
 
نظر به واکنش های منفی کاربران در  فضای مجازی و اینکه فعالیت مجازی صفحه فوق  مصداق مجرمانه داشته، موضوع بصورت ویژه در دستور کار قرار گرفت  که برابر بررسی های اطلاعاتی  صورت گرفته ضمن شناسایی محل انجام فعالیت های مجرمانه ، هویت دقیق گرداننده صفحه، طی عملیاتی مکان مورد استفاده  پلمب  و موضوع تحت رسیدگی می باشد.


🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4320
4,4321,2025-04-14T17:46:04+00:00,2025-04-15T02:43:10.404125,"🔰استان هرمزگان

✅ اجرای طرح تشدید ۴روزه بازدید از مجتمع های تجاری در استان هرمزگان توسط مامورین پلیس نظارت بر اماکن عمومی  استان و شهرستان های تابعه  در راستای طرح ناظر۲ و ماده ۲۷و۲۸ق ن ص و برخورد با صنوف متخلف.

🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4321
5,4322,2025-04-14T17:48:42+00:00,2025-04-15T02:43:10.404278,"✅اداره نظارت بر اماکن عمومی کیش

🔻در راستای اجرای طرح برخورد با صنوف و فروشندگان سلاح های سرد عوامل اداره اماکن  موفق به کشف تعداد ۲۲ قبضه انواع سلاح های سرد و  تعداد ۷۰۰۰ عدد کاغذ پیپر گل OCB از یک غرفه در بازار پانیذ گردیده و برای متصدی پرونده قضایی تشکیل گردید.

🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4322
6,4323,2025-04-14T17:52:16+00:00,2025-04-15T02:43:10.404428,"💢اجرای طرح مشترک نظارت بر واحد های سراجان در محدوده بازار بزرگ تهران 

🔻در راستای ارتقای امنیت اجتماعی و  انسجام بخشی، واحد های صنفی سراجان در محدوده بازار بزرگ تهران  عوامل پلیس نظارت بر اماکن تهران بزرگ طرح مشترک در در جهت نظارت و‌کنترل بر واحد های صنفی سراجان  بعمل آوردند که در این راستا تعداد ۷۰ واحد صنفی بازدید و صورتجلسه تنظیم و تعداد ۶۹ واحد صنفی بعلت عدم رعایت ضوابط انتظامی ؛ دارا بودن اتباع خارجی غیر مجاز و عدم ارائه پروانه کار برای کارگران و عدم پروانه فعالیت قانونی برای آنان اخطاریه پلمب صادر و مراتب قانونی در دستور کار پلیس اماکن تهران بزرگ می باشد. 

🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4323
7,4324,2025-04-14T17:55:59+00:00,2025-04-15T02:43:10.404575,"🚨 حذف محتوای هنجار شکنانه صفحه اینستاگرامی صنفی  سالن زیبایی در فیروزآباد استان فارس
 
 💢 برابر رصد کارشناسان نظارت بر کسب و کارهای مجازی  اداره‌ نظارت بر اماکن عمومی صفحه اینستاگرامی مربوط به آرایشگاه زنانه که اقدام به تبلیغات هنجار شکنانه، تهیه فیلم و ویدیو با محتوای نامتعارف و انتشار درفضای مجازی می‌نمود .
در راستای  اجرای قوانین و مقررات و انتظام بخشی انتظامی شناسائی و نسبت به  پاکسازی، حذف محتوا صفحه موصوف اقدام گردید.

🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4324
8,4325,2025-04-14T17:57:58+00:00,2025-04-15T02:43:10.404729,"✍#خط_دیدار| رهبر انقلاب: باید در مقابل تبلیغات دشمن کار و طراحی کرد؛ آمادگی حداکثری لازم است.

✏️در کنار آمادگی‌های سخت‌افزاری، آمادگی نرم‌افزاری یعنی ایمان به هدف و مأموریت خود و یقین به حقانیت مسیر بسیار مهم است. ۱۴۰۴/۱/۲۴


🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4325
9,4326,2025-04-15T03:07:37+00:00,2025-04-15T02:43:10.404886,"سه شنبه بیست و ششم فروردین ماه ۱۴۰۴

🔰پلیس نظارت بر اماکن عمومی فراجا 

🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4326
10,4327,2025-04-15T03:32:09+00:00,2025-04-15T02:43:10.405018,"🚨برخورد پلیس اماکن خراسان جنوبی با واحد های صنفی که اقدام به مالخری اقلام سرقتی نموده بودند.

🔻در راستای اجرای طرح پیشگیری از سرقت وبه منظور برخورد با مالخری برابر همکاری مشترک با پلیس آگاهی استان تعداد ۳واحد (طلافروشی،لوازم یدکی و ضایعاتی)که اقدام به خرید مال مسروقه نموده بودند اخطاریه پلمب ابلاغ و واحد ضایعاتی پلمب وبرخورد با سایر واحدها در حال اقدام می باشد.

🔰پلیس نظارت براماکن عمومی فراجا 
🆔@payshgar_police_Amaken",https://eitaa.com/payshgar_police_amaken/4327
